Char,Diag,wlen
Monica," There's nothing to tell! He's just 

some guy I work with!",11
Joey," C'mon, you're going out with the 

guy! There's gotta be something wrong with him!",14
Chandler," 
All right Joey, be nice.  

So does he have a hump? A hump and a hairpiece?",16
Phoebe," Just, 'cause, I don't want her to 

go through what I went through with Carl- oh!",16
Monica," Okay, everybody relax. This is not 

even a date. It's just two people going out to dinner and- not having sex.",21
Chandler," Alright, so I'm back in high 

school, I'm standing in the middle of the cafeteria, and I realize I am totally 

naked.",22
Chandler," Then I look down, and I realize 

there's a phone... there.",11
Chandler," All of a sudden, the phone 

starts to ring. Now I don't know what to 

do, everybody starts looking at me. ",21
Chandler," Finally, I 

figure I'd better answer it, and 

it turns out it's my mother, which is very-very weird, because- she never calls 

me!",23
Ross," I just feel like someone reached 

down my throat, grabbed my small intestine, pulled it out of my mouth and tied 

it around my neck...",25
Monica," (explaining to the others) Carol 

moved her stuff out today. ",10
Phoebe," Ooh! Oh! (She starts to pluck at 

the air just in front of Ross.)",14
Ross," No, no don't! Stop cleansing my 

aura! No, just leave my aura alone, okay?",14
Ross," 
I'll be fine, alright? Really, everyone. I hope she'll be very 

happy.",12
Ross," No I don't, to hell with her, she 

left me!",10
Ross," No!! Okay?! Why does everyone keep 

fixating on that? She didn't know, how should I know?",16
Chandler," Sometimes I wish I was a 

lesbian... (They all stare at him.) Did I say that out loud?",18
Ross," I told mom and dad 

last night, they seemed to take it pretty well.",14
Joey," Alright Ross, look. You're feeling a 

lot of pain right now. You're angry. You're hurting. Can I tell you what the 

answer is?",23
Ross," I don't want to be single, okay? I 

just... I just- I just wanna be married again!",17
Chandler," And I just want a million 

dollars! (He extends his hand hopefully.)",12
Rachel," Oh God Monica hi! Thank God! I 

just went to your building and you weren't there and then this guy with a big 

hammer said you might be here and you are, you are!",34
Monica," (pointing at Rachel) De-caff. (to 

All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) 

This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my 

brother Ross? ",33
Monica," So you wanna tell us now, or are 

we waiting for four wet bridesmaids?",14
Monica," Now I'm guessing that he bought 

her the big pipe organ, and she's really not happy about it. ",18
Ross," (in a deep voice) 

I'll have whatever Christine is having.",10
Rachel," (on phone) Daddy, I just... I 

can't marry him! I'm sorry. I just don't love him. Well, it matters to me!

",21
